,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-10-10 20:10:21, 7.787 sec,0.0,0.4986005395451983,0.6903495667737286,0.5,1.0,0.5373831775700935,0.5000129396655765,0.693175724324253,0.5,1.0,0.5185185185185185
1,,2018-10-10 20:10:21, 7.792 sec,5.0,0.464391124197425,0.6236918242779015,0.8784804567413264,2.1616161616161618,0.18691588785046728,0.4747271049101924,0.6433646285793309,0.8173076923076923,1.6615384615384616,0.24074074074074073
2,,2018-10-10 20:10:21, 7.796 sec,10.0,0.43051515476972957,0.5608418084397647,0.9276679841897234,2.1616161616161618,0.16822429906542055,0.44753038948725,0.5915237366085663,0.8763736263736265,2.076923076923077,0.14814814814814814
3,,2018-10-10 20:10:21, 7.800 sec,15.0,0.40634333770715153,0.5168056055877341,0.9375933245498462,2.1616161616161618,0.14018691588785046,0.4278406772957601,0.5543001209024456,0.8832417582417582,2.076923076923077,0.18518518518518517
4,,2018-10-10 20:10:21, 7.805 sec,20.0,0.3867057033700659,0.4814163582717582,0.9480456741326306,2.1616161616161618,0.11682242990654206,0.4180599751091887,0.5349288242328475,0.896978021978022,2.076923076923077,0.18518518518518517
5,,2018-10-10 20:10:21, 7.809 sec,25.0,0.37539824654584325,0.46078678427618636,0.9471234079929732,2.1616161616161618,0.11682242990654206,0.4099410314486531,0.5191730196422542,0.8914835164835164,2.076923076923077,0.2037037037037037
6,,2018-10-10 20:10:21, 7.814 sec,30.0,0.3638749703786114,0.4393345274261816,0.9482652613087396,2.1616161616161618,0.11214953271028037,0.40546948143488315,0.5090905503137089,0.881868131868132,2.076923076923077,0.2222222222222222
7,,2018-10-10 20:10:21, 7.818 sec,35.0,0.35231765933375775,0.41781764792993575,0.9482652613087396,2.1616161616161618,0.12149532710280374,0.3995955243074932,0.4960334803481707,0.8804945054945055,2.076923076923077,0.2037037037037037
8,,2018-10-10 20:10:21, 7.823 sec,40.0,0.34067083034250994,0.3956799206865847,0.9531840140535793,2.1616161616161618,0.10747663551401869,0.3893577391240376,0.47476898828839736,0.8914835164835164,2.076923076923077,0.18518518518518517
9,,2018-10-10 20:10:21, 7.827 sec,45.0,0.33232547095075055,0.37921114112428495,0.9535353535353536,2.1616161616161618,0.11214953271028037,0.3853979745381241,0.4648983887634774,0.8956043956043956,2.076923076923077,0.16666666666666666
10,,2018-10-10 20:10:21, 7.831 sec,50.0,0.3253389703135955,0.3654492175977893,0.9542380324989022,2.1616161616161618,0.09345794392523364,0.38194226398502534,0.45597848152207454,0.8942307692307693,2.076923076923077,0.18518518518518517
11,,2018-10-10 20:10:21, 7.836 sec,55.0,0.319683882283237,0.35393443821360093,0.9545893719806763,2.1616161616161618,0.09345794392523364,0.3804831211888496,0.4512859015967997,0.8914835164835164,2.076923076923077,0.18518518518518517
12,,2018-10-10 20:10:21, 7.840 sec,60.0,0.3154632232477194,0.34463706069188565,0.9549407114624505,2.1616161616161618,0.10747663551401869,0.37785023482129937,0.44397937971977913,0.8928571428571429,2.076923076923077,0.18518518518518517
13,,2018-10-10 20:10:21, 7.845 sec,65.0,0.31099968831381297,0.3354189830424019,0.9557312252964426,2.1616161616161618,0.102803738317757,0.3756665842116171,0.4380249370956555,0.8942307692307693,2.076923076923077,0.18518518518518517
14,,2018-10-10 20:10:21, 7.849 sec,70.0,0.30755306542779026,0.3281053331276847,0.9553798858146684,2.1616161616161618,0.08878504672897196,0.37504498986520257,0.43489538165033254,0.8942307692307693,2.076923076923077,0.16666666666666666
15,,2018-10-10 20:10:21, 7.854 sec,75.0,0.30366032123511416,0.31979779447618156,0.9564339042599912,2.1616161616161618,0.08878504672897196,0.3717254963993554,0.42659029609947624,0.8942307692307693,2.076923076923077,0.16666666666666666
16,,2018-10-10 20:10:21, 7.858 sec,80.0,0.3004394807465322,0.3129028207479796,0.9573122529644269,2.1616161616161618,0.09813084112149532,0.37021258248402855,0.42265896197371083,0.8914835164835164,2.076923076923077,0.16666666666666666
17,,2018-10-10 20:10:21, 7.862 sec,83.0,0.29940180383078496,0.3104655879883639,0.9571365832235398,2.1616161616161618,0.09813084112149532,0.37078304389747924,0.4229197393831737,0.8928571428571429,2.076923076923077,0.16666666666666666
