,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_classification_error,validation_rmse,validation_logloss,validation_classification_error
0,,2018-10-10 19:23:12, 2.288 sec,0.0,,,,,,
1,,2018-10-10 19:23:12, 2.305 sec,1.0,0.7281619189574392,17.525847689605875,0.5054945054945055,0.7053508639463351,16.129744314994735,0.4642857142857143
2,,2018-10-10 19:23:12, 2.315 sec,2.0,0.7274811720734724,17.353521070284685,0.47761194029850745,0.6237845323965182,10.724387316585947,0.4107142857142857
3,,2018-10-10 19:23:12, 2.326 sec,3.0,0.7030748438901162,15.469628325190712,0.45,0.6495751583130132,10.241376803778792,0.44642857142857145
4,,2018-10-10 19:23:12, 2.339 sec,4.0,0.6830401832676147,13.750111417663865,0.4585635359116022,0.6292141875602937,8.472125324746623,0.44642857142857145
5,,2018-10-10 19:23:12, 2.349 sec,5.0,0.6937112394042351,13.842388157360157,0.5050505050505051,0.6201704969106301,7.305694925107799,0.42857142857142855
6,,2018-10-10 19:23:12, 2.367 sec,6.0,0.6713866624845085,12.702869776730152,0.46153846153846156,0.6024474155141448,5.547317712663698,0.42857142857142855
7,,2018-10-10 19:23:12, 2.384 sec,7.0,0.6697010632717824,12.277017032661062,0.460093896713615,0.6044683843390759,5.554013778486454,0.42857142857142855
8,,2018-10-10 19:23:12, 2.406 sec,8.0,0.6670793388450049,11.917536922098158,0.46543778801843316,0.608554838991129,5.572845231180828,0.4107142857142857
9,,2018-10-10 19:23:12, 2.418 sec,9.0,0.6637478465716493,11.023080816073556,0.4930875576036866,0.6044571005140276,4.421562472653352,0.39285714285714285
10,,2018-10-10 19:23:12, 2.433 sec,10.0,0.6617075007529466,10.739325175920502,0.4818181818181818,0.6054181459263203,4.430536903754385,0.4107142857142857
11,,2018-10-10 19:23:12, 2.446 sec,11.0,0.6538891645751795,10.239619200768837,0.45701357466063347,0.6021602463085273,3.858373185842363,0.42857142857142855
12,,2018-10-10 19:23:12, 2.457 sec,12.0,0.6470051316233911,9.563585914801783,0.45739910313901344,0.6048331242713647,3.8583583749511554,0.42857142857142855
13,,2018-10-10 19:23:12, 2.473 sec,13.0,0.6438696236991024,9.12500114574672,0.45739910313901344,0.6026788199085334,3.283713343667775,0.4107142857142857
14,,2018-10-10 19:23:12, 2.507 sec,14.0,0.6441810495461578,8.696781923844643,0.45739910313901344,0.6037034748983899,2.7231932552540674,0.44642857142857145
15,,2018-10-10 19:23:12, 2.525 sec,15.0,0.642416739517286,8.4039137468304,0.4663677130044843,0.6051484312136746,2.7271038198412385,0.44642857142857145
16,,2018-10-10 19:23:12, 2.545 sec,16.0,0.6384378279542788,7.67775616422778,0.4618834080717489,0.6089519515863929,2.7335036249672457,0.42857142857142855
17,,2018-10-10 19:23:12, 2.572 sec,17.0,0.6325373892723727,7.231457071768065,0.452914798206278,0.6110699813205561,2.7444410473680696,0.42857142857142855
18,,2018-10-10 19:23:12, 2.585 sec,18.0,0.6273293918973691,6.661935352064135,0.4484304932735426,0.6071209484721151,2.7355445444771602,0.4107142857142857
19,,2018-10-10 19:23:12, 2.604 sec,19.0,0.6253387783072428,6.511484606477702,0.43946188340807174,0.6061271104018211,2.7327345900579756,0.44642857142857145
20,,2018-10-10 19:23:12, 2.625 sec,20.0,0.6201922449051835,5.643240452675778,0.4349775784753363,0.6060517893827712,2.735948275131932,0.44642857142857145
21,,2018-10-10 19:23:12, 2.638 sec,21.0,0.6172448381043932,5.204022030451522,0.43946188340807174,0.6091404072626361,2.193652986555223,0.44642857142857145
22,,2018-10-10 19:23:12, 2.654 sec,22.0,0.6155149741315283,5.056577227885468,0.4304932735426009,0.6067680434002325,2.182486844859546,0.44642857142857145
