,,timestamp,duration,iteration,lambda,predictors,deviance_train,deviance_test,deviance_xval,deviance_se
0,,2018-10-10 19:16:05, 0.000 sec,1,.14E3,95,10.763231086643236,8.483392525702877,10.880797522910408,1.7013922736881644
1,,2018-10-10 19:16:05, 0.003 sec,2,.99E2,95,10.740646565561278,8.46741899776151,10.865710388169125,1.6993421678270753
2,,2018-10-10 19:16:05, 0.005 sec,3,.72E2,95,10.709989398279648,8.445783499148465,10.845178942206621,1.6965357937004153
3,,2018-10-10 19:16:05, 0.008 sec,4,.52E2,95,10.668556537605754,8.416631492118354,10.817338465281168,1.6927094462485013
4,,2018-10-10 19:16:05, 0.013 sec,5,.38E2,95,10.61289135541869,8.377627610408963,10.779754932546874,1.6874954179472992
5,,2018-10-10 19:16:05, 0.015 sec,6,.28E2,95,10.538694586991033,8.325933697973026,10.729348971408905,1.680418576802341
6,,2018-10-10 19:16:05, 0.017 sec,7,.2E2,95,10.440847637835825,8.25829148730641,10.662322927563105,1.670855683074897
7,,2018-10-10 19:16:05, 0.019 sec,8,.15E2,95,10.31356705372112,8.171231743118616,10.574213307051826,1.658017403935315
8,,2018-10-10 19:16:05, 0.022 sec,9,.11E2,95,10.151030861649046,8.061669225611897,10.460124979328237,1.6409262393034472
9,,2018-10-10 19:16:05, 0.025 sec,10,.78E1,95,9.948234552852258,7.927649353404818,10.315278645040511,1.6184132160585896
10,,2018-10-10 19:16:05, 0.027 sec,11,.57E1,95,9.702389569548144,7.769541363909663,10.136012684612664,1.589228044151984
11,,2018-10-10 19:16:05, 0.030 sec,12,.41E1,95,9.41466772400252,7.591233736498937,9.921049322754154,1.5521453989211302
12,,2018-10-10 19:16:05, 0.032 sec,13,.3E1,95,9.091313647103187,7.400752562637569,9.673137349201678,1.5062552074097924
13,,2018-10-10 19:16:05, 0.034 sec,14,.22E1,95,8.744032691396002,7.2099263154086355,9.40003260144916,1.4512928731847639
14,,2018-10-10 19:16:05, 0.036 sec,15,.16E1,95,8.388361525251625,7.032460075562063,9.114635940050487,1.3881204968554517
15,,2018-10-10 19:16:05, 0.038 sec,16,.12E1,95,8.04081876298334,6.8811581413750105,8.833263829692415,1.318945446769961
16,,2018-10-10 19:16:05, 0.041 sec,17,.84E0,95,7.715509741244357,6.765233355750959,8.572744172916291,1.2473500660324541
17,,2018-10-10 19:16:05, 0.042 sec,18,.61E0,95,7.422005915509061,6.689096285635491,8.347254815086565,1.1778592746662273
18,,2018-10-10 19:16:05, 0.045 sec,19,.45E0,95,7.164926455796927,6.652683312317578,8.166269882578582,1.1151747922034814
19,,2018-10-10 19:16:05, 0.047 sec,20,.32E0,95,6.944916628422337,6.652557322143917,8.034165020961789,1.0632627336857818
20,,2018-10-10 19:16:05, 0.050 sec,21,.24E0,95,6.760187439546339,6.683308153921322,7.951107830189123,1.0246517158035666
21,,2018-10-10 19:16:05, 0.053 sec,22,.17E0,95,6.607663534368781,6.73831716055544,7.914414802438385,1.0000746579895594
22,,2018-10-10 19:16:05, 0.056 sec,23,.13E0,95,6.4836217657180635,6.810212756274745,7.919473798196428,0.9886189096380174
23,,2018-10-10 19:16:05, 0.059 sec,24,.91E-1,95,6.3840716592704085,6.891484337315534,7.960417179155312,0.9882580128220227
24,,2018-10-10 19:16:05, 0.063 sec,25,.66E-1,95,6.30506266841214,6.975240945830754,8.030639008773402,0.9964657099806338
