,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_0_AutoML_20181010_191557,7.485344446705858,2.7359357533951445,7.485344446705858,2.0265607001370682,0.4118414783757856
1,StackedEnsemble_AllModels_0_AutoML_20181010_191557,7.573126576954309,2.751931426644622,7.573126576954309,2.0335026948504202,0.4151573717178295
2,GBM_grid_0_AutoML_20181010_191557_model_8,7.811555990892442,2.7949160972903004,7.811555990892442,2.041863803220043,0.4239938905554325
3,GBM_grid_0_AutoML_20181010_191557_model_1,7.845392161470687,2.800962720471426,7.845392161470687,2.1004093824972925,0.4150145466033879
4,GLM_grid_0_AutoML_20181010_191557_model_0,7.912742024440807,2.8129596556724388,7.912742024440807,2.0535489576955355,0.4248640828489865
5,GBM_grid_0_AutoML_20181010_191557_model_3,8.012329237707638,2.830605807545028,8.012329237707638,2.151018821346601,0.4138648641507685
6,GBM_grid_0_AutoML_20181010_191557_model_0,8.063341079906035,2.8396022749508485,8.063341079906035,2.1831603211857646,0.4117318976359616
7,GBM_grid_0_AutoML_20181010_191557_model_2,8.102645651196624,2.8465146497421414,8.102645651196624,2.146512009875748,0.4178554947204063
8,DeepLearning_0_AutoML_20181010_191557,8.151598849225866,2.855100497219996,8.151598849225866,2.179320219876264,0.4140001461083172
9,GBM_grid_0_AutoML_20181010_191557_model_9,8.155569947748662,2.8557958519033995,8.155569947748662,2.169238231407049,0.41214319785819103
10,DRF_0_AutoML_20181010_191557,8.489946577211674,2.9137512895255266,8.489946577211674,2.2379547069845582,0.4148544219320714
11,XRT_0_AutoML_20181010_191557,8.542268503204093,2.9227159463766053,8.542268503204093,2.1840968680639183,0.4238210233341495
12,DeepLearning_grid_0_AutoML_20181010_191557_model_0,8.593892057355982,2.931534079173562,8.593892057355982,2.1446233217598145,0.4330547637727996
13,DeepLearning_grid_0_AutoML_20181010_191557_model_1,8.812846575301034,2.968643894996676,8.812846575301034,2.1570467127950907,0.44274582236966903
14,DeepLearning_grid_0_AutoML_20181010_191557_model_2,9.09228746357472,3.0153420143616736,9.09228746357472,2.2376948832964407,0.4351293431843321
15,GBM_grid_0_AutoML_20181010_191557_model_6,9.520703520104714,3.0855637280900083,9.520703520104714,2.2561153147774715,0.4491954424790051
16,GBM_grid_0_AutoML_20181010_191557_model_4,9.551538382676137,3.09055632252126,9.551538382676137,2.263053995177668,0.4491488067056483
17,DeepLearning_grid_0_AutoML_20181010_191557_model_3,9.602693067617114,3.0988212384093914,9.602693067617114,2.3236498471228706,0.4393764001583684
18,GBM_grid_0_AutoML_20181010_191557_model_5,10.192120940068692,3.192510131553022,10.192120940068692,2.366233763529065,0.4581138021664631
19,GBM_grid_0_AutoML_20181010_191557_model_7,10.713824641558302,3.2731979227596826,10.713824641558302,2.4350783202416424,0.4633417365459243
