,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-10 19:16:04, 1.358 sec,0.0,,,,,,
1,,2018-10-10 19:16:04, 1.387 sec,1.0,4.02016331545584,3.003724385906198,16.161713082936895,3.509489578592544,2.6705128229581394,12.316517102249673
2,,2018-10-10 19:16:04, 1.414 sec,2.0,4.064301007821704,3.067147829806763,16.518542682180513,3.1374244450276207,2.361698719171377,9.843432148256873
3,,2018-10-10 19:16:04, 1.472 sec,3.0,3.841914980613968,2.869858854475224,14.760310718266025,2.859099994867937,2.2714743644763264,8.174452780653837
4,,2018-10-10 19:16:04, 1.500 sec,4.0,3.83115496817724,2.840241031489745,14.677748390189148,2.739583367540282,2.1360233540718374,7.505317027703352
5,,2018-10-10 19:16:04, 1.529 sec,5.0,3.722226012814671,2.7599101014611844,13.854966490474204,2.7133371306889544,2.0798992707179145,7.362198384775369
6,,2018-10-10 19:16:04, 1.561 sec,6.0,3.5202685838230687,2.666324006737987,12.392290902251673,2.665783427632914,2.0259577249869323,7.106401283042289
7,,2018-10-10 19:16:04, 1.588 sec,7.0,3.428721006468843,2.610934067563135,11.756127740200716,2.558550363015715,1.9027439840547329,6.546179960087847
8,,2018-10-10 19:16:04, 1.608 sec,8.0,3.4167258268893295,2.594817325167917,11.674015376132571,2.609573677700914,1.9126774278970866,6.8098747793494745
9,,2018-10-10 19:16:04, 1.627 sec,9.0,3.36659381973658,2.568792535037932,11.333953947088535,2.524585913418401,1.8817053330250273,6.373534034230622
10,,2018-10-10 19:16:04, 1.636 sec,10.0,3.3203207425529646,2.520434387495305,11.02452983342747,2.53467744348593,1.862852982374338,6.424589742516371
11,,2018-10-10 19:16:04, 1.648 sec,11.0,3.2069437749530496,2.421189497672043,10.284488375710115,2.5372370800422974,1.8659968834656935,6.437572000341564
